"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"121847","23-06-26 02:00","World","World Cup - Final phase","2026","Norway","Senegal","2.38","3.46","3.12","1.04","11.60","1.23","4.21","1.78","2.10","2.82","1.43","5.36","1.16","1.59","2.36"
"121848","22-06-26 23:00","World","World Cup - Final phase","2026","France","Iraq","1.07","12.00","26.00","1.01","23.00","1.09","7.37","1.30","3.58","1.78","2.10","2.65","1.49","2.61","1.50"
"121849","22-06-26 19:00","World","World Cup - Final phase","2026","Argentina","Austria","1.46","4.44","8.18","1.03","11.70","1.28","3.72","1.84","2.03","3.12","1.37","5.76","1.14","1.98","1.83"
"121842","22-06-26 03:00","World","World Cup - Final phase","2026","New Zealand","Egypt","6.23","3.97","1.62","1.07","8.51","1.35","3.19","2.09","1.74","4.03","1.25","7.93","1.08","2.12","1.73"
"121843","22-06-26 00:00","World","World Cup - Final phase","2026","Uruguay","Cape Verde","1.41","4.85","8.68","1.06","9.47","1.30","3.58","2.09","1.80","3.46","1.31","6.63","1.11","2.41","1.57"
"121844","21-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Iran","1.43","4.59","8.68","1.03","11.70","1.25","3.99","1.84","2.03","3.12","1.37","5.76","1.14","2.03","1.79"
"121845","21-06-26 18:00","World","World Cup - Final phase","2026","Spain","Saudi Arabia","1.11","11.70","21.00","1.01","22.00","1.09","7.45","1.29","3.62","1.84","2.03","2.79","1.44","2.41","1.57"
"121838","21-06-26 06:00","World","World Cup - Final phase","2026","Tunisia","Japan","9.25","4.60","1.42","1.05","10.50","1.30","3.58","1.98","1.88","3.46","1.31","6.63","1.11","2.14","1.71"
"121839","21-06-26 02:00","World","World Cup - Final phase","2026","Ecuador","Curacao","1.16","9.59","15.20","1.01","16.00","1.16","5.32","1.44","2.79","2.18","1.69","3.73","1.28","2.55","1.52"
"121840","20-06-26 22:00","World","World Cup - Final phase","2026","Germany","Ivory Coast","1.46","4.87","7.09","1.03","15.00","1.18","4.79","1.55","2.45","2.45","1.55","4.30","1.22","1.70","2.14"
"121841","20-06-26 19:00","World","World Cup - Final phase","2026","Netherlands","Sweden","1.70","4.07","5.14","","","1.18","4.79","1.60","2.34","2.45","1.55","4.30","1.22","1.63","2.29"
"121833","20-06-26 05:00","World","World Cup - Final phase","2026","Turkey","Paraguay","2.08","3.38","3.93","1.06","9.57","1.32","3.41","2.06","1.82","3.73","1.28","7.30","1.09","1.79","2.02"
"121834","20-06-26 02:30","World","World Cup - Final phase","2026","Brazil","Haiti","1.11","11.70","22.00","1.01","20.00","1.10","6.91","1.32","3.41","1.84","2.03","2.95","1.40","2.60","1.50"
"121835","20-06-26 00:00","World","World Cup - Final phase","2026","Scotland","Morocco","5.73","3.84","1.68","1.06","9.57","1.32","3.41","2.06","1.82","3.43","1.31","6.57","1.11","1.92","1.88"
"121836","19-06-26 21:00","World","World Cup - Final phase","2026","USA","Australia","1.55","4.44","6.21","1.06","9.57","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","2.18","1.69"
"121828","19-06-26 03:00","World","World Cup - Final phase","2026","Mexico","South Korea","2.05","3.34","4.10","1.07","8.51","1.35","3.19","2.09","1.74","4.03","1.25","7.93","1.08","1.87","1.94"
"121829","19-06-26 00:00","World","World Cup - Final phase","2026","Canada","Qatar","1.28","6.11","11.50","1.02","13.80","1.20","4.61","1.70","2.23","2.62","1.49","4.82","1.18","2.39","1.58"
"121830","18-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Bosnia & Herzegovina","1.57","4.10","6.66","1.04","11.60","1.25","3.95","1.86","2.01","2.98","1.39","5.82","1.14","1.87","1.94"
"121831","18-06-26 18:00","World","World Cup - Final phase","2026","Czech Republic","South Africa","1.86","3.61","4.61","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.93","1.08","1.92","1.88"
